 	Area	Perim.
1	383	185.765
2	9	10.485
3	4	8.485
4	10675	2865.386
5	18	36.527
6	4	8.485
7	6450	1236.511
8	5	11.314
9	2237	521.737
10	35	32.042
11	15	32.284
12	4	11.314
13	199	109.539
14	11	22.385
15	4	5.657
16	376	146.267
17	11	25.799
18	4	7.657
19	6	9.899
20	8	16.971
21	12	22.385
22	4	7.657
23	4	9.657
24	5	11.899
25	4	7.071
26	4	9.657
27	15	24.971
28	6	16.142
29	1536	654.673
30	8	15.314
31	853	279.546
32	16	32.870
33	9	16.142
34	1167	403.512
35	13	20.385
36	4	8.485
37	4	7.657
38	5	14.142
39	6	13.314
40	11	18.142
41	6	12.485
42	5	11.314
43	7	16.142
44	12	16.971
45	4	9.899
46	4	8.485
47	11	16.142
48	6	10.485
49	5	11.899
50	4	7.657
51	4	7.657
52	4	9.071
53	4	9.899
54	5	9.899
55	10	20.971
56	36	55.012
57	4	9.657
58	6	11.899
59	30	59.497
60	8	17.556
61	110	96.125
62	4	10.485
63	9	15.899
64	4	7.657
65	6	13.314
66	15	30.870
67	4	9.899
68	8	16.142
69	10	22.385
70	91	124.066
71	8	14.728
72	6	13.314
73	3405	888.036
74	5	10.485
75	6	13.314
76	4	8.828
77	8	15.899
78	6	11.899
79	13	24.385
80	6	13.314
81	5	12.728
82	4	8.485
83	8	12.485
84	10	24.385
85	12	18.971
86	5	11.314
87	4	10.485
88	4	8.485
89	66	71.740
90	5	11.899
91	4	8.828
92	66	52.426
93	5	14.142
94	4	9.071
95	5	12.728
96	49	66.326
97	10	18.385
98	4	10.485
99	4	8.485
100	6	12.485
101	5	9.899
102	4	5.657
103	4	7.071
104	5	12.728
105	4	10.485
106	7	13.314
107	18	26.385
108	7	11.071
109	6	13.314
110	4	10.485
111	4	8.485
112	5	9.071
113	5	12.485
114	4	10.485
115	7	14.485
116	2234	1168.410
117	4	11.314
118	4	9.657
119	5	9.657
120	4	8.485
121	6	12.728
122	6	10.485
123	8	16.142
124	9	17.556
125	4	9.899
126	8	13.899
127	4	7.657
128	4	8.485
129	5	9.899
130	6	12.728
131	4	8.485
132	5	12.728
133	4	7.657
134	7	15.314
135	4	7.071
136	4	11.314
137	4	9.071
138	5	9.899
139	5	11.314
140	11	20.971
141	5	11.071
142	8	18.971
143	172	142.894
144	5	13.314
145	6	13.314
146	5	11.899
147	6	9.071
148	4	10.485
149	6	11.899
150	8	16.971
151	4	8.485
152	4	9.071
153	4774	1484.383
154	5	10.485
155	4	10.485
156	4	9.899
157	4	9.071
158	11	22.971
159	610	213.948
160	222	173.179
161	5	9.657
162	27	42.184
163	5	9.899
164	8	14.728
165	4	10.485
166	8	14.142
167	8	12.728
168	29	39.113
169	30	36.284
170	4	10.485
171	7	10.485
172	4	10.485
173	5	14.142
174	68	92.610
175	26	45.355
176	7	14.728
177	5	11.314
178	8	13.314
179	4	9.657
180	7	11.314
181	27	50.770
182	6	11.899
183	4	7.071
184	6	14.142
185	4	7.657
186	4	7.657
187	9	14.728
188	4	7.657
189	4	7.071
190	11	21.213
191	65	61.841
192	13	18.142
193	6	10.485
194	7	14.142
195	7	11.899
196	4	8.485
197	5	13.314
198	9	18.142
199	6	12.485
200	37	66.912
201	4	10.485
202	6	9.071
203	4	8.485
204	11	23.799
205	346	203.563
206	4	7.657
207	5	12.728
208	4	8.243
209	5	11.314
210	104	159.037
211	10	15.314
212	6	10.485
213	6	11.657
214	6	8.485
215	4	7.657
216	30	56.083
217	20	32.627
218	6	12.485
219	600	197.664
220	20	26.627
221	4	11.314
222	8	14.728
223	4	9.071
224	42	57.497
225	6	11.314
226	4	9.657
227	8	13.314
228	18	25.799
229	6	13.314
230	9	16.142
231	6	13.314
232	6	13.314
233	5	12.485
234	5	10.485
235	120	122.752
236	35	49.941
237	9	16.971
238	5	9.657
239	7	14.728
240	9	19.556
241	17	24.971
242	6	10.485
243	7	12.728
244	6	12.485
245	5	10.485
246	4	8.485
247	6	13.314
248	9	13.314
249	10	18.142
250	454	177.421
251	20	36.284
252	12	26.042
253	2562	688.087
254	6	11.899
255	4	8.485
256	6	13.899
257	4	11.314
258	4	9.657
259	9657	2034.647
260	4	9.657
261	9	18.142
262	4	7.071
263	6	11.657
264	4	7.071
265	136	94.711
266	16	27.213
267	5	11.899
268	10	19.556
269	14	14.142
270	13	20.142
271	4	11.314
272	5	10.485
273	4	11.314
274	968	314.517
275	4	11.314
276	4	8.485
277	26	39.113
278	4	10.485
279	4	7.071
280	4	7.657
281	6	12.485
282	4	8.485
283	4	7.657
284	9	21.799
285	31	53.598
286	4	8.485
287	5	10.485
288	37	62.669
289	12	23.799
290	66	108.267
291	16	28.627
292	11	14.142
293	6	14.142
294	639	288.174
295	4	5.657
296	33	42.527
297	8	20.385
298	7	16.142
299	5	8.485
300	162	134.894
301	6	9.071
302	14	28.627
303	5	13.314
304	5	12.728
305	12	18.385
306	4	7.657
307	5	9.657
308	6	8.485
309	2467	859.509
310	78	81.054
311	5	9.657
312	5	9.657
313	5	10.485
314	8	13.314
315	2374	512.808
316	4	8.485
317	5	8.485
318	7	14.728
319	11	15.314
320	5	10.485
321	9	16.728
322	5	7.657
323	4	7.071
324	4	5.657
325	975	557.235
326	5	12.728
327	4	8.243
328	4	9.899
329	6	10.485
330	5	8.485
331	4	9.899
332	7	12.485
333	9	16.142
334	5	11.314
335	17	26.971
336	6	15.314
337	19	34.284
338	4	5.657
339	40	45.598
340	5	10.485
341	6	11.899
342	2998	1025.960
343	5	10.485
344	4	8.485
345	4	7.657
346	4	9.899
347	4	8.485
348	4	8.485
349	6	14.485
350	4	7.071
351	5	10.828
352	15	25.213
353	6	9.071
354	175	142.894
355	7	9.657
356	4	10.485
357	6	16.971
358	4	7.657
359	22	42.527
360	6	14.142
361	4	7.071
362	31	64.912
363	5	12.728
364	16	27.456
365	4	7.657
366	9	14.485
367	6	16.971
368	4	8.485
369	5	7.071
370	25	33.456
371	9	16.728
372	4	8.485
373	4	10.485
374	20	20.971
375	5	11.314
376	73	87.882
377	5	11.314
378	14	27.799
379	18	24.627
380	5	12.728
381	4	7.071
382	5	12.485
383	5	11.899
384	105	131.823
385	7	11.314
386	49	65.740
387	5	10.485
388	10	17.314
389	4	7.657
390	4	10.485
391	4	7.657
392	4	8.485
393	65	72.569
394	5	9.657
395	5	10.243
396	6	8.485
397	4	5.657
398	34	51.012
399	4	9.657
400	38	67.640
401	4	7.071
402	4	8.485
403	17	30.627
404	38	66.569
405	4	5.657
406	4	8.828
407	4	9.657
408	6	10.485
409	5	7.657
410	28	50.426
411	4	8.243
412	6	13.314
413	8	15.314
414	6	9.071
415	9	13.899
416	168	104.510
417	6	11.314
418	12	24.971
419	7	13.899
420	5	9.899
421	8	17.314
422	4	9.899
423	23	35.456
424	8	17.314
425	6	12.485
426	12	24.971
427	4	7.657
428	5	9.899
429	7	14.728
430	4	7.657
431	6	11.657
432	5	10.485
433	9	16.142
434	4	9.071
435	4	7.657
436	4	10.485
437	4	9.071
438	8	16.728
439	4	7.071
440	7	11.314
441	1716	456.767
442	5	11.314
443	6	11.899
444	4	9.899
445	6	15.314
446	29	53.497
447	6	10.485
448	6	12.485
449	5	9.657
450	5	8.485
451	8	15.899
452	4	11.314
453	20	29.456
454	88	117.095
455	2845	1170.653
456	6	12.485
457	6	11.899
458	4	10.485
459	5	10.485
460	33	55.841
461	6	11.314
462	3923	1416.542
463	7	15.314
464	18	36.284
465	6	9.071
466	6	11.314
467	4	7.657
468	9	16.142
469	4	9.899
470	5	9.899
471	7	13.899
472	25	34.284
473	5	12.728
474	6	12.728
475	28	32.870
476	1178	687.886
477	4	9.657
478	16	24.627
479	34	42.527
480	4	10.485
481	249	274.132
482	9	16.142
483	4	10.485
484	4	10.485
485	13	21.799
486	20	33.456
487	6	11.899
488	4	10.485
489	5	13.314
490	4	7.657
491	12	28.042
492	10	22.385
493	5	8.485
494	15	32.870
495	4	8.485
496	11	26.870
497	4	7.657
498	5	8.485
499	14	27.213
500	9	16.142
501	7	16.142
502	5	7.071
503	4	7.657
504	6	9.071
505	49	76.468
506	5	7.071
507	16	28.385
508	21	39.698
509	838	370.742
510	12	20.142
511	7	10.485
512	4	9.899
513	4	9.071
514	20	30.284
515	4	8.485
516	6	11.314
517	1668	700.857
518	8	18.971
519	4	8.485
520	11	19.556
521	6	13.314
522	23	37.698
523	8	16.142
524	4	10.485
525	4	9.071
526	4	10.485
527	4	8.243
528	8	18.142
529	4	9.899
530	11	18.142
531	11	23.213
532	4	9.071
533	6	11.071
534	4	9.899
535	9	21.799
536	6	11.314
537	5	12.728
538	6	10.485
539	5	12.728
540	4	8.485
541	4	7.657
542	5	8.485
543	5	11.314
544	9	20.385
545	7	14.142
546	8	16.142
547	4	9.071
548	18	23.799
549	9	11.899
550	9	16.142
551	6	16.142
552	4	9.899
553	6	15.314
554	7	11.314
555	20	31.456
556	4	8.485
557	4	7.657
558	19	32.870
