
Os valores de area e perimetro (em pixels) sao(foram ORDENADOS):


        AREA(pixel2)    PERIMETRO(pixel)
                   4               5.657
                   4               5.657
                   4               5.657
                   4               5.657
                   4               5.657
                   4               5.657
                   4               5.657
                   4               5.657
                   4               5.657
                   4               5.657
                   4               5.657
                   4               5.657
                   4               5.657
                   4               5.657
                   4               5.657
                   4               5.657
                   4               5.657
                   4               5.657
                   4               5.657
                   4               5.657
                   4               5.657
                   4               5.657
                   4               5.657
                   4               7.071
                   4               7.071
                   4               7.071
                   4               7.071
                   4               7.071
                   4               7.071
                   4               7.071
                   4               7.071
                   4               7.071
                   4               7.071
                   4               7.071
                   4               7.071
                   4               7.071
                   4               7.071
                   4               7.071
                   4               7.071
                   4               7.071
                   4               7.071
                   4               7.071
                   4               7.071
                   4               7.071
                   4               7.071
                   4               7.071
                   4               7.071
                   4               7.071
                   4               7.071
                   4               7.071
                   4               7.071
                   4               7.071
                   4               7.071
                   4               7.071
                   4               7.071
                   4               7.071
                   4               7.071
                   4               7.071
                   4               7.071
                   4               7.071
                   4               7.071
                   4               7.071
                   4               7.071
                   4               7.071
                   4               7.071
                   4               7.071
                   4               7.071
                   4               7.071
                   4               7.071
                   4               7.071
                   4               7.071
                   4               7.071
                   4               7.071
                   4               7.657
                   4               7.657
                   4               7.657
                   4               7.657
                   4               7.657
                   4               7.657
                   4               7.657
                   4               7.657
                   4               7.657
                   4               7.657
                   4               7.657
                   4               7.657
                   4               7.657
                   4               7.657
                   4               7.657
                   4               7.657
                   4               7.657
                   4               7.657
                   4               7.657
                   4               7.657
                   4               7.657
                   4               7.657
                   4               7.657
                   4               7.657
                   4               7.657
                   4               7.657
                   4               7.657
                   4               7.657
                   4               7.657
                   4               7.657
                   4               7.657
                   4               7.657
                   4               7.657
                   4               7.657
                   4               7.657
                   4               7.657
                   4               7.657
                   4               7.657
                   4               7.657
                   4               7.657
                   4               7.657
                   4               7.657
                   4               7.657
                   4               7.657
                   4               7.657
                   4               7.657
                   4               7.657
                   4               7.657
                   4               7.657
                   4               7.657
                   4               7.657
                   4               7.657
                   4               7.657
                   4               7.657
                   4               7.657
                   4               7.657
                   4               7.657
                   4               7.657
                   4               7.657
                   4               7.657
                   4               7.657
                   4               7.657
                   4               7.657
                   4               7.657
                   4               7.657
                   4               7.657
                   4               7.657
                   4               7.657
                   4               7.657
                   4               7.657
                   4               7.657
                   4               7.657
                   4               7.657
                   4               7.657
                   4               7.657
                   4               7.657
                   4               7.657
                   4               7.657
                   4               7.657
                   4               7.657
                   4               7.657
                   4               7.657
                   4               7.657
                   4               7.657
                   4               7.657
                   4               7.657
                   4               7.657
                   4               7.657
                   4               7.657
                   4               8.243
                   4               8.243
                   4               8.243
                   4               8.243
                   4               8.243
                   4               8.243
                   4               8.243
                   4               8.243
                   4               8.243
                   4               8.243
                   4               8.485
                   4               8.485
                   4               8.485
                   4               8.485
                   4               8.485
                   4               8.485
                   4               8.485
                   4               8.485
                   4               8.485
                   4               8.485
                   4               8.485
